date,conn_id,label,weekday,feeder_route,feeder_sched_arr,feeder_delay_s,feeder_eff_arr,feeder_canceled,feeder_rt_available,feeder_seen_count,conn_route,conn_sched_dep,conn_delay_s,conn_eff_dep,conn_canceled,conn_rt_available,buffer_min,margin_s,transfer_ok,verdict,next_conn_sched_dep,wait_if_missed_min,polls_ok,polls_fail,notes,final_route,final_stop,final_sched_arr,final_delay_s,final_eff_arr,final_canceled,final_rt_available,walk_min_to_school,school_name,school_deadline,eta_school,school_margin_min,school_ok
2026-09-10,0601,"Chyne 6:01 -> Zlicin -> Beroun (prijezd 336 6:10, odjezd 384 6:20)",Ct,336,06:10,351,06:15:51,0,1,32,384,06:20,43,06:20:43,0,1,1,292,1,OK,06:50,30,37,4,,,,,,,,,,,,,,
2026-09-10,0701,"Chyne 7:01 -> Zlicin -> Beroun (prijezd 336 7:11, odjezd 384 7:20)",Ct,336,07:11,227,07:14:47,0,1,33,384,07:20,51,07:20:51,0,1,1,364,1,OK,07:50,30,102,4,,,,,,,,,,,,,,
2026-09-14,0601,"Chyne 6:01 -> Zlicin -> Beroun (prijezd 336 6:10, odjezd 384 6:20)",Po,336,06:10,,,,,,384,06:20,,,,,1,,,NO_SERVICE,06:50,,11,0,linky se v tabuli neobjevily (svatek / vyluka / nedojezd),384,"Beroun,sidliste",06:50,,,,,,,,,,
2026-09-14,0701,"Chyne 7:01 -> Zlicin -> Beroun (prijezd 336 7:11, odjezd 384 7:20)",Po,336,07:11,210,07:14:30,0,1,32,384,07:20,265,07:24:25,0,1,1,595,1,OK,07:50,30,70,0,,384,"Beroun,sidliste",07:50,491,07:58:11,0,1,5,SZS Beroun (Mladeze 1102/8),08:00,08:03:11,-4,0
2026-09-16,0601,"Chyne 6:01 -> Zlicin -> Beroun (prijezd 336 6:10, odjezd 384 6:20)",St,336,06:10,255,06:14:15,0,1,29,384,06:20,-17,06:19:43,0,1,1,328,1,OK,06:50,30,62,0,,384,"Beroun,sidliste",06:50,129,06:52:09,0,1,5,SZS Beroun (Mladeze 1102/8),07:10,06:57:09,12,1
2026-09-16,0701,"Chyne 7:01 -> Zlicin -> Beroun (prijezd 336 7:11, odjezd 384 7:20)",St,336,07:11,310,07:16:10,0,1,29,384,07:20,-8,07:19:52,0,1,1,222,1,OK,07:50,30,61,0,,384,"Beroun,sidliste",07:50,107,07:51:47,0,1,5,SZS Beroun (Mladeze 1102/8),08:00,07:56:47,3,1
2026-09-17,0601,"Chyne 6:01 -> Zlicin -> Beroun (prijezd 336 6:10, odjezd 384 6:20)",Ct,336,06:10,268,06:14:28,0,1,30,384,06:20,-19,06:19:41,0,1,1,313,1,OK,06:50,30,62,0,,384,"Beroun,sidliste",06:50,135,06:52:15,0,1,5,SZS Beroun (Mladeze 1102/8),07:10,06:57:15,12,1
2026-09-17,0701,"Chyne 7:01 -> Zlicin -> Beroun (prijezd 336 7:11, odjezd 384 7:20)",Ct,336,07:11,140,07:13:20,0,1,30,384,07:20,39,07:20:39,0,1,1,439,1,OK,07:50,30,61,0,,384,"Beroun,sidliste",07:50,193,07:53:13,0,1,5,SZS Beroun (Mladeze 1102/8),08:00,07:58:13,1,1
2026-09-18,0601,"Chyne 6:01 -> Zlicin -> Beroun (prijezd 336 6:10, odjezd 384 6:20)",Pa,336,06:10,315,06:15:15,0,1,29,384,06:20,59,06:20:59,0,1,1,344,1,OK,06:50,30,62,0,,384,"Beroun,sidliste",06:50,263,06:54:23,0,1,5,SZS Beroun (Mladeze 1102/8),07:10,06:59:23,10,1
2026-09-18,0701,"Chyne 7:01 -> Zlicin -> Beroun (prijezd 336 7:11, odjezd 384 7:20)",Pa,336,07:11,137,07:13:17,0,1,30,384,07:20,200,07:23:20,0,1,1,603,1,OK,07:50,30,61,0,,384,"Beroun,sidliste",07:50,360,07:56:00,0,1,5,SZS Beroun (Mladeze 1102/8),08:00,08:01:00,-1,0
